url,label
https://www.nahright.com/news/2009/12/23/reflection-eternal-feat-jay-electronica-j-cole-mos-def-untitled-radio-rip/,benign
https://www.zimbio.com/photos/David+Dreier/James+McGovern,benign
https://www.guitars101.com/forums/f90/jeff-beck-group-1968-11-16-miami-jeff-beck-rod-stewart-ron-wood-amp-micky-waller-56865.html,benign
http://www.kinnaree.co.uk/index.php?option=com_content&view=article&id=40&Itemid=25,malicious
https://www.corporationwiki.com/Florida/Palm-Beach/mary-alice-fortin-foundation-of-florida-inc-4060667.aspx,benign
https://www.ru.itqiz.com/497/709nf-kbwf-ghtj-hfpjdfybz-wdtnjd.php,benign
"https://secure.runescape.com-amx.top/m=weblogin/loginform.ws35,35,19,5111111111111111111111,1",malicious
https://www.mountroyalcem.com/index.php/en/our-cemeteries/mount-royal-cemetery.html,benign
http://ghoulash.com/poZHO-h1mmgpuY8aCLSe6_AYQvpOJyb-bw,malicious
https://www.imdb.com/name/nm0653486/,benign
robux.link,malicious
http://siriuspaintball.com/wp-content/gallery/products/thumbs/,malicious
srever-summary.com,malicious
http://albel.intnet.mu/File/file_doc.php?l=_JeHFUq_VJOXJoGYDw_OXK0K0QWHtoGYDw_Product-UserID&userid_JeHJOXK0IDw_JOXK0IDD&userid=,malicious
http://www.art-ecology-education.org/en/qaa-topmenu-30/113-what-do-you-mean-when-you-use-the-term-systemic.html,malicious
https://www.namesdatabase.com/schools/UK/LA/Ashton-In-Makerfield/Ashton%20County%20Secondary%20School,benign
raynexweb.com,malicious
https://www.streema.com/radios/KEXS,benign
https://www.modis.ispras.ru/wikipedia/Harry_Jones_(disambiguation).html,benign
https://www.normanok.com/,benign
https://www.usafestival.net/?page=details&nolang=0&id=3049,benign
https://www.barry.edu/podiatry/faculty/buchman.htm,benign
https://mitsui-jyuku.mixh.jp/uploads/781ODNO38B.exe,malicious
https://www.dontmakeuspay.org/,benign
http://www.olderforyounger.co.uk/index.html,malicious
https://www.geology.com/state-map/missouri.shtml,benign
https://www.en.wikipedia.org/wiki/Doug_Harvey,benign
https://www.discogs.com/Num%C3%A9ro-LId%C3%A9ologie-Des-Stars/release/990249,benign
https://www.espn.go.com/mens-college-basketball/team/stats/_/id/239/baylor-bears,benign
http://www.eendrachthummelo.nl/index.php?option=com_phocagallery&view=category&id=50:10-12-10-oliebollenactie&Itemid=80,malicious
https://www.opio.biz/,benign
https://www.capitolconnect.com/oklahoma/default.aspx,benign
https://www.blazersedge.com/2011/11/8/2546980/broussard-blazers-owner-paul-allen-took-part-in-nba-owners-conference,benign
http://www.leblancathletisme.fr/index.php?option=com_content&view=article&id=82:dernieres-nouvelles&catid=34:news&Itemid=54,malicious
https://www.trueknowledge.com/q/facts_about__jeanne_sauve,benign
https://www.usatoday.com/sports/scores107/107279/NCAAF526103.htm,benign
http://aksniwka.com/redakcja/podstrona-systemowa/77-mloda-niwka/1350-sp-zaki-informacje-o-najblizszym-treningu,malicious
https://www.doftw.com/crandallmanitoba/historybook/hbpp97to104.html,benign
http://www.cidsafrica.com/userfiles/image/new_pics/ckk.html,malicious
https://www.mds.servicerating.ca/orate/48095,benign
https://www.chikh-ali.com/wp-includes/accesst/wells,malicious
www.elated.com/tutorials/graphics/,malicious
http://pracadarepublicaembeja.net/pass/,malicious
https://www.moraga-realestate.com/,benign
https://www.avn.com/porn-stars/Henri-Pachard-240990.html,benign
https://www.zoominfo.com/people/Nakano_Denise_20212046.aspx,benign
https://www.familytreemaker.genealogy.com/users/b/e/a/Jennifer-Beauregard/ODT1-0002.html,benign
https://www.newsinfo.iu.edu/news/page/normal/14783.html,benign
http://yesomctp.hjnes.com/www.paypal.com/websc-login.php,malicious
http://www.caridadporunasonrisa.com/appleid/a199889915c2bc4099ededa53ee274fd/information.htm?account=&amp,malicious
http://www.plasmatreatment.co.uk/index.php/application-areas/plasma-surface-activation/plasma-activation-medical-plastics,malicious
https://www.heritage.nf.ca/society/building_cathedral.html,benign
http://www.holtemidtpunkt.dk/index.php?option=com_content&view=article&id=56&Itemid=135,malicious
www.nsoftware.com/products/component/?c=XMLp&amp;sku=,malicious
search.cpan.org/~book/Test-Database-1.06/lib/Test/Database.pm,malicious
http://9779.info/%E5%88%9B%E6%84%8F%E6%89%8B%E5%B7%A5%E5%89%AA%E7%BA%B8%E7%B2%98%E8%B4%B4%E7%94%BB/,malicious
"'www.pearsonhighered.com/educator/academic/product/0,,0131838725,00\%2Ben-USS_01DBC.html'",malicious
https://www.spoke.com/info/p6K13DU/SamPollock,benign
http://www.skovborg-regnskab.dk/index.php/interim-management/optimering-af-okonomifunktion,malicious
http://lasqc.com/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=21&Itemid=128,malicious
https://grindtimegym.com/wp-admin/includes/class/WellsFargo/WellsFargo/wells/,malicious
energy-fizz.com,malicious
https://www.pipl.com/directory/name/Rideau,benign
dftdrthdscsfdxxcbcfgjdrtesryhfhxdrgd.000webhostapp.com,malicious
http://www.portaflores.com/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=168&category_id=1&option=com_virtuemart,malicious
configuraation.altavistabastos.com.br,malicious
https://www.lambgoat.com/news/view.aspx?id=17125,benign
www.computerworld.com/s/article/9221481/Computerworld_continuing_coverage_of_Hadoop,malicious
https://www.palegreen.org/ocean-pacific/,benign
https://www.google.co.in/,benign
http://greatercincinnatismps.org/membership,malicious
http://webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=6459189a13eea6590e83257ea52b96d96459189a13eea6590e83257ea52b96d9,malicious
https://www.english.turkcebilgi.com/Transbay+Tube,benign
http://schildmann.biz/wp-includes/fonts/redi1.html,malicious
https://www.uk.answers.yahoo.com/question/index?qid=20100215153908AAW0Efr,benign
http://mahshov.com/index.php?option=com_content&view=article&id=17:abc&catid=1&Itemid=4,malicious
http://eyesquare.tn/system/logs/87h754.exe,malicious
http://mueblesjulianjimenez.es/index.php?page=shop.browse&category_id=3&option=com_virtuemart&Itemid=5,malicious
https://www.virtualtourist.com/hotels/North_America/Canada/Province_of_Ontario/Kingston-907699/Hotels_and_Accommodations-Kingston-Comfort_Inn_Highway_401-BR-1.html,benign
https://www.evri.com/person/lords-of-bouillon-0x15a1b0,benign
https://www.movies.yahoo.com/movie/contributor/1800013272,benign
http://www.ekwdesign.de/referenzen/corporate-design/211.html,malicious
https://busanamuslimbagus.co.id/limited/limited/wealth/,malicious
https://www.amazon.com/Essential-Leonard-Cohen/dp/B00006NSH8,benign
http://portal-mobvi.com/mobile/5ea717b5facb61a89a2f6a8687f51558/,malicious
https://www.windycityrock.net/2011/07/show-review-dumpster-babies-creepy-band.html,benign
https://www.at1ce.org/themenreihe.p?c=Sportspeople%20from%20North%20Carolina,benign
https://www.oromiatimes.blogspot.com/2006_03_12_archive.html,benign
https://www.fiction.eserver.org/novels,benign
http://www.dovehouse.us/donations/new-building/86-privacy-policy,malicious
http://www.smslonline.com/2011-registration-form/who-has-signed-up/player/1/798.html,malicious
https://www.indiaeducationstat.com/,benign
https://www.utc.iath.virginia.edu/onstage/films/cameos/silents.html,benign
https://www.kpfa.org/schedule,benign
www.hi-ho.ne.jp/ktkawabe/densha_e.html,malicious
http://purchasing-department.yolasite.com/,malicious
http://roma.md/templates/system/https:/www2.itau.com.br/atendimento/,malicious
http://adislpe.co.uk/a,malicious
http://gulfcoastlivingonline.org/magazine/calendar,malicious
https://www.artcyclopedia.com/artists/kirmse_marguerite.html,benign
